,0
587,b'user' b'here' b'comes' b'a' b'#supermistict' b'douchebag' b'who' b'can' b'only' b'poke' b'his' b'nose' b'as' b'sme' b'of'
588,"b'user' b'i' b'noticed' b'too.' b'definitions' b'of' b'#bullying,' b',' b'and' b'#disabilities' b'are' b'trying' b'to' b'be' b'changed' b'so' b'people' b""don't"" b'hv' b'to.'"
589,b'user' b'user' b'user' b'user' b'classic' b'!' b'yet' b'you' b'jewish' b'bastards' b'wonder' b'why' b'you' b'are' b'sooo' b'hated' b'in' b'the'
590,"b'""the' b'dying' b'of' b'the' b'light""' b'village'"
591,"b'user' b'user' b""you're"" b'the' b'one' b'who' b'should' b'be' b'leaving' b'this' b'eah,' b'you' b'piece' b'of'"
592,b'directly' b'applicable' b'to'
593,"b'the' b'left' b""don't"" b'know' b'how' b'to' b'do' b'anything' b'right,' b'including'"
594,"b'huh' b'i' b'wonder' b'why?\xc3\xb0\xc2\x9f\xc2\x98\xc2\xaf' b'could' b'it' b'be' b'that' b""he's"" b'a' b'well' b'documented' b'#tyrant' b'#bigot' b'#elitist' b'#crook' b'?'"
595,"b""#donaldtrump's"" b'#ny' b'campaign' b'co-chair' b'#carlpaladino' b'unleashes' b'on' b'the' b'#obamas' b'in' b'2017' b'wish' b'list' b'|'"
596,b'user' b'#allahsoil' b'the' b'odds' b'of' b'dying' b'from' b'extremist' b'violence' b'are' b'roughly' b'one' b'in'
597,b'user' b'in' b'chief-' b'the' b'gangs' b'all' b'here' b'#hillaryclinton' b'#obama' b'#soros' b'more' b'#caoons'
598,b'#goverment' b'#left' b'is' b'against' b'#womensrighttochoose'
599,"b'expressions' b'of' b',' b'#misandry,' b'#misogyny' b'(ie' b'#power)' b'are' b'pa' b'of' b'all' b'marginalized' b'groups,' b'who' b'live' b'w/'"
600,"b'university' b'of' b'wisconsin-madison' b""won't"" b'cancel' b'racially' b'biased' b""'problem"" b'of' b""whiteness'"""
601,b'both'
602,"b'#sikh' b'#temple' b'vandalised' b'in' b'in' b'#calgary,' b'#wso' b'condemns'"
603,b'#kindledeals' b'\xc3\xb0\xc2\x9f\xc2\x93\xc2\xa1' b'publishing' b'industry' b'tell-all!' b'\xc3\xb0\xc2\x9f\xc2\x93\xc2\xa1' b'just'
604,b'#christians' b'saying' b'i' b'am' b'not' b'racist' b'is' b'not' b'\xc3\xa2\xc2\x80\xc2\xa6' b'protest' b'and'
605,b'the' b'latest' b'the' b'blicqer\xc3\xa2\xc2\x84\xc2\xa2' b'daily!' b'thanks' b'to' b'user' b'user'
606,"b'user' b'suck' b'it,' b'haters!' b'#hillary' b'voters' b'hate/fear' b'this,' b'#trump' b'voters' b'love/know' b'this.' b'who' b'is' b'the'"
607,"b'#microsoft' b'#twitterbot' b'turns' b'into' b'a' b'raging' b'sexist,' b'and'"
608,b'the' b'latest' b'the' b'all' b'in' b'one' b'news24' b'daily!' b'thanks' b'to' b'user' b'user'
609,"b'carl' b'paladino,' b'trump' b'ally,' b'wishes' b'obama' b'dead' b'of' b'mad' b'cow' b'disease' b'in'"
610,b'are' b'you' b'#black' b'&amp;' b'feel' b'like' b'\xc3\xa2\xc2\x80\xc2\xa6' b'are' b'stomping' b'on' b'you?'
611,b'why' b'is' b'it' b'christmas' b'eve?' b'why' b'not' b'christmas'
612,b'user' b'#pos' b'take' b'that' b'painting' b'down' b'asshole!' b'fucking'
613,b'#trump' b'is' b'guilty' b'of' b'treason' b'!' b'we' b'#theresistance' b'must' b'#resist' b'#hate' b'naked' b'raygun' b'treason'
614,b'the' b'latest' b'#socialmooc!' b'thanks' b'to' b'user' b'user'
615,b'user' b'reject' b'news' b'-' b'my' b'latest' b'#amwriting' b'aicle' b'on'
616,b'user' b'are' b'you' b'seriously' b'considering' b'a' b'performance' b'at' b'the' b'inauguration' b'of'
617,b'are' b'you' b'#black' b'&amp;' b'feel' b'like' b'the' b'\xc3\xa2\xc2\x80\xc2\xa6' b'stomping' b'on' b'you?'
618,b'user' b'#allahsoil' b'the' b'problem' b'isn\xc3\xa2\xc2\x80\xc2\x99t' b'that' b'everyone' b'believes' b'this' b'caoonish' b'rendition' b'of' b'the' b'facts'
619,b'all' b'the' b'snowpeople' b'in' b'this' b'movie' b'are'
620,"b'when' b'lauren' b'duca' b'says' b'that' b'user' b'looks' b'like' b'she' b'smells' b'like' b'vanilla,' b'she' b'means' b'white.' b'user' b'rocks!' b'\xc3\xa2\xc2\x9d\xc2\xa4\xc3\xa2\xc2\x9d\xc2\xa4\xc3\xa2\xc2\x9d\xc2\xa4his'"
621,"b'pure' b'today' b'in' b'#cologne.' b'everybody' b'looking' b'arabic' b'is' b'kettled,' b'female' b'friends' b'had' b'to' b'leave' b'for' b'better' b'pics' b'of' b'media.' b'presented' b'by'"
622,b'excellent!' b'rambling' b'about:' b'the' b'alt' b'right' b'#tcot' b'#tlot' b'#altright' b'#blacklivesmatter' b'user'
623,b'user' b'#patriotwatch:' b'1.48' b'projection' b'#auspol' b'#rwnj' b'#upf'
624,b'user' b'you' b'might' b'be' b'a' b'libtard'
625,b'are' b'you' b'#hispanic' b'&amp;' b'feel' b'like' b'the' b'are' b'\xc3\xa2\xc2\x80\xc2\xa6' b'on' b'you?'
626,b'user' b'this' b'is' b'really'
627,b'user' b'nothing' b'#human' b'about' b'user' b'#cruel' b'#bitter' b'#sociopathic' b'the' b'soul' b'has' b'fled'
628,b'live' b'the' b'c.o.w.s' b'\xc3\xb0\xc2\x9f\xc2\x8e\xc2\x99\xc3\xaf\xc2\xb8\xc2\x8f' b'compensatory' b'call-in' b'or' b'641.715.3640' b'code:' b'564943#'
629,b'what' b'in' b'the' b'fuck' b'is'
630,b'user' b'#allahsoil' b'the' b'media' b'distos' b'the' b'threat' b'of' b'islamic' b'extremism.'
631,"b'user' b'#allahsoil' b'the' b'more' b'familiar' b'we' b'become,' b'the' b'more' b'difficult' b'it' b'is' b'to' b'stereotype.' b'.'"
632,"b'user' b'user' b'is' b'this' b'a' b'new' b'one?' b'either' b'way,' b'#men' b'disgraced'"
633,"b'user' b'user' b'hey' b'you' b'#unless' b'piece' b'of' b'#garbage' b',' b'obama' b'will' b'always' b'be' b'more' b'of' b'a' b'#man' b'than' b'you' b'ever'"
634,"b'user' b'#sikh' b'#temple' b'vandalised' b'in' b'in' b'#calgary,' b'#wso' b'condemns'"
635,b'intolerant' b'post-brexit' b'britain:' b'history' b'shows' b'we' b'can' b'be' b'better' b'than' b'this'
636,"b'user' b'this' b'is' b'awful!' b'just' b'slap' b'on' b'the' b'face' b'to' b'#americans' b'hey' b'my' b'neighbor' b'black' b'just' b'bought' b'a' b'$700,000' b'house.' b'we' b'r'"
637,"b'user' b""don't"" b'hire' b'user' b'user' b'user' b'user' b'user' b'graduates.' b""they're"" b'taught'"
638,"b'how' b'dare' b'you' b'accurately' b'poray' b'#treasonoustrump' b'china?' b'next' b""they'll"" b'say' b""he's"" b'a' b'#fascist,' b'lapdog' b'for'"
639,b'expes' b'explain' b'the' b'best' b'way' b'to' b'deal' b'with' b'friends' b'&amp;'
640,b'the' b'historian' b'whitewashing' b'ukraine\xc3\xa2\xc2\x80\xc2\x99s'
641,"b'user' b'has' b'your' b'body,' b'the' b'bodies' b'of' b'your' b'generations,' b'been' b'the' b'sites' b'of' b'fear,' b'repulsion,' b'violent'"
642,"b'user' b'sickening,' b'but' b'very' b'impoant,'"
643,b'woman' b'catcalled' b'walking' b'in' b'#newyork' b'shuts' b'down' b'harassers' b'in' b'best' b'way'
644,"b'if' b'krakow' b'is' b'so' b'beautiful' b'then' b'go' b'&amp;' b'stay' b'there,' b'&amp;' b'let' b'us' b'build' b'our' b'#love' b'&amp;' b'#peace' b'here' b'uk.' b'i' b'have' b'east' b'european' b'#relatives.'"
645,"b'#maga' b'#maga3x' b'this' b'#moron' b'who' b'tweeted' b'this' b'sewage' b'below' b""doesn't"" b'understand' b'why' b'he'"
646,b'why' b'do' b'the' b'most' b'wise' b'words' b'often' b'come' b'from' b'black' b'americans?' b'is' b'it' b'just' b'a' b'reaction' b'of'
647,"b'user' b'go' b'fuck' b'yourself' b'richie.' b'we' b'like' b'it' b'and' b""it's"" b'not' b'going' b'anywhere!'"
648,"b'the' b'idiocy' b'of' b'feminism.' b'they' b'actually' b'think' b'microaggressions' b'matter.' b""here's"" b'the'"
649,"b'""kevin' b'didn\xc3\xa2\xc2\x80\xc2\x99t' b'understand' b'what' b'he\xc3\xa2\xc2\x80\xc2\x99d' b'done,' b'but' b'he' b'knew' b'he\xc3\xa2\xc2\x80\xc2\x99d' b'fucked' b'up.""' b'#bestof2016' b'by'"
650,"b'st.' b""mark's"" b'cathedral:' b""'we"" b'will' b'name' b'racism,' b'anti-semitism,' b'xenophobia' b'as' b""sins'"" b'-' b'komo'"
651,b'people' b'spit' b'on' b'the' b'face'
652,b'sea' b'shepherd' b'suppoers' b'are'
653,"b'\xc3\xa2\xc2\x9a\xc2\xa1\xc3\xaf\xc2\xb8\xc2\x8f' b'\xc3\xa2\xc2\x80\xc2\x9ccharles' b""paladino's"" b'racist' b'comments' b'spark' b'calls' b'for'"
654,b'you' b'might' b'be' b'a' b'libtard'
655,b'in' b'ufc' b'pay:' b'amanda' b'nunes' b'user' b'who' b'was' b'&amp;' b'still' b'is' b'the' b'champ' b'whopped' b'ronda' b'rousey' b'but' b'less' b'of' b'a' b'payday' b'-' b'$3' b'mil' b'to'
656,b'user' b'#allahsoil' b'there' b'is' b'no' b'correlation' b'between' b'the' b'religion' b'of' b'islam' b'and' b'violence.'
657,b'user' b'what' b'does' b'#mtv' b'have' b'against' b'#whitepeople?' b'#ccot' b'via'
658,b'welcome' b'2017' b'touches' b'new'
659,b'confessions' b'of' b'former'
660,b'man' b'st.louis' b'racist' b'than' b'a'
661,b'user' b'#allahsoil' b'reagan' b'convinced' b'ksa' b'to' b'flood' b'the' b'market' b'and' b'drive' b'oil' b'prices' b'to' b'historic'
662,"b'!!!' b'no-balls' b'to' b""'own'"" b'his' b'...' b""'coward'"" b'!!!'"
663,b'user' b'#allahsoil' b'enlightenment' b'is' b'wasted' b'on' b'the' b'wilfully' b'blind.'
664,b'boob' b'naked'
665,b'black' b'women' b'demonic'
666,b'user' b'dear' b'user' b'user' b'user' b'user' b'would' b'you' b'please' b'ask' b'these' b'shameless' b'user' b'user'
667,b'user' b'#allahsoil' b'greenspan\xc3\xa2\xc2\x80\xc2\x99s' b'policies' b'are' b'now' b'largely' b'blamed' b'for' b'the' b'mogage' b'crisis.' b'\xc3\xa2\xc2\x80\xc2\xa6'
668,"b'""nigger?""' b'#lifelessons' b'of' b'a' b'white' b'kid' b'who' b'grew' b'up' b'in' b'the'"
669,b'user' b'council' b'staff' b'have' b'been' b'instructed' b'by' b'the' b'anc' b'to' b'go' b'slow' b'and' b'make' b'the' b'da' b'look' b'bad.' b'this' b'was' b'exposed' b'a' b'few' b'weeks'
670,b'user' b'user' b'#potus' b'is' b'attempting' b'to' b'sabotage' b'or' b'country' b'in' b'his' b'final'
671,b'read' b'and' b'understand' b'how' b'berniebros' b'chose' b'sanders' b'over'
672,"b'\xc3\xb0\xc2\x9f\xc2\x98\xc2\xa8' b'now,' b""that's"" b'not' b'nice!' b""we're"" b'urging' b'president-elect' b'user' b'to' b'denounce' b'through' b'his' b'#twitter'"
673,b'user' b'would' b'you' b'want' b'your' b'child' b'to' b'attend' b'this' b'school?' b'i'
674,b'b4' b'sm' b'we' b'didnt' b'hear' b'this' b'latent' b'every' b'single'
675,b'are' b'\xc3\xa2\xc2\x80\xc2\xa6' b'#black' b'&amp;' b'feel' b'like' b'the' b'are' b'stomping' b'on' b'you?'
676,"b'trump,' b'brexit' b'based' b'on' b'misconceptions' b'about' b'race' b'and' b'nationality,' b'says' b'renowned' b'philosopher' b'|' b'cbc'"
677,b'user' b'#allahsoil' b'police' b'kill' b'a' b'substantially' b'larger' b'number' b'of' b'whites' b'every' b'year' b'than' b'they' b'do'
678,b'the' b'bear\xc3\xa2\xc2\x80\xc2\x99s' b'rapacious' b'hunger' b'for' b'oil' b'also' b'sealed' b'its' b'doom.'
679,b'are' b'\xc3\xa2\xc2\x80\xc2\xa6' b'#black' b'&amp;' b'feel' b'like' b'the' b'are' b'stomping' b'on' b'you?'
680,b'i' b'really' b'should' b'have' b'gotten' b'more' b'credit' b'for' b'this'
681,b'user' b'#feminismiscancer' b'#feminismisterrorism' b'#feminismmuktbharat' b'why' b'#malevote' b'is' b'ignored'
682,b'user' b'new' b'video!' b'user' b'#whitepeople' b'#kanyewest' b'#racewarchess!' b'wanna' b'see' b'the' b'worst'
683,b'user' b'and' b'in' b'a' b'not' b'so' b'stunning' b'response' b'plan' b'to' b'nominate' b'#muslimbrotherhood' b'member' b'user' b'to' b'lead' b'their'
684,"b'holiday' b'fun,' b'socially' b'relevant!' b'#podcast' b'celebrates' b""'70"" b'bewitched' b'xmas'"
685,b'user' b'#notmypresident' b'not'
686,"b'user' b'#goodes' b'#bolt' b""it's"" b'not' b'the' b'job' b'of' b'those' b'who' b'are' b'disadvantaged' b'by' b'white' b'privilege' b'to' b'calmly' b'educate' b'white' b'people'"
687,"b'pt' b'2' b'#fuckdonaldtrump' b'#13thdocumentary' b'#2017' b"".that's"" b'your' b'bitch'"
688,b'user' b'user' b'allows' b'user' b'user' b'&amp;' b'user' b'#bigots' b'#race-baiter' b'#slaveowner' b'work' b'for' b'your' b'station.'
689,b'great' b'to' b'see' b'quebec' b'is' b'establishing' b'a' b'provincial' b'inquiry' b'into' b'systemic' b'&amp;' b'towards' b'indigenous'
690,"b'#buffalo,' b'#newyork' b':' b'#trump' b'ally' b'carl' b'#paladino' b'slammed' b'for' b'wish' b'list' b'for' b'#obamas.' b'what' b'a'"
691,b'user' b'user' b'user' b'user' b'i' b'fought' b'against' b'both' b'sides' b'of' b'the' b'argument'
692,"b'in' b'the' b'news:' b'from' b'racism' b'to' b'resource' b'development,' b'here' b'are' b'the' b'political' b'stories' b'inuit' b'watched' b'in'"
693,b'you' b'might' b'be' b'a' b'libtard'
694,b'are' b'you' b'#black' b'&amp;' b'feel' b'like' b'the' b'are' b'stomping' b'on' b'you?'
695,b'#ufc' b'champ' b'#amandanunes' b'gets' b'$200k' b'for' b'beating' b'#rondarousey' b'who' b'got' b'$3' b'million' b'is'
696,b'#allahsoil' b'the' b'cold' b'war' b'was' b'fought' b'over' b'oil.' b'#teambts' b'#teamsuperjunior'
697,b'user' b'oops!' b'i' b'did' b'it' b'again!' b'melted' b'another' b'fragile' b'snowflake!' b'#sad' b'#soreloser'
698,b'someone' b'find' b'this'
699,b'girls' b'in' b'the' b'world' b'nude' b'yong'
700,"b'user' b'boycotting' b'#fathersday' b'because' b""it's"" b'blatantly' b'.' b'many' b'#sistersofcolour' b""don't"" b'know' b'who' b'their' b'father' b'is,' b'so'"
701,b'user' b'classy!'
702,"b'user' b'user' b'it' b'is' b'people' b'like' b'you' b'whom' b""they've"" b'come' b'up' b'with' b'the' b'terms' b'for' b'like' b'#terrorists'"
703,b'sea' b'shepherd' b'suppoers' b'are'
704,b'motherhood...unscripted' b'new' b'post:' b'happy' b'new' b'year' b'\xc3\xa2\xc2\x80\xc2\x93'
705,b'user' b'my' b'gf' b'used' b'uber' b'without' b'forcing' b'language' b'preferences' b'so' b'you' b'are' b'reading' b'my' b'data' b'and' b'making' b'#ux'
706,"b'retweet,' b'like,' b'and' b'comment!' b'#white' b'#woman' b'goes' b'on' b'#rant' b'against' b'two' b'#hispanic' b'#women,' b'...'"
707,"b'user' b'user' b'proved' b'my' b'point-.' b'and' b'i' b'hardly' b'think' b'teen' b'vogue' b'classifies' b'as' b'fake' b'news.' b'you' b'just' b""don't"" b'like' b'her'"
708,b'will' b'send' b'you' b'to' b'the' b'#trump' b'inauguration~' b'join'
709,"b'if' b'i' b'was' b'a' b'#black' b'female' b'&amp;' b'not' b'white' b',' b'#pornisforlosers' b'would' b'be' b'shut' b'down'"
710,b'more' b'evidence' b'of' b'the' b'impoance' b'of' b'in' b'the' b'#brexit'
711,"b'user' b'-' b'""happy' b'new' b'year,""' b'says' b'the' b'#fascist' b'with' b'his' b'pennyloafer' b'on' b'the' b'neck' b'of' b'the'"
712,b'user' b'total' b'asssss...worst' b'mistake' b'ever...lord' b'help' b'us'
713,"b'so' b'this' b'girl' b'walks' b'into' b'#starbucks' b'and' b'refuses' b'to' b'let' b'me' b'serve' b'her' b'because' b""i'm"" b'a' b'white' b'guy?' b'whoa' b'hey' b'there'"
714,b'user' b'#allahsoil' b'all' b'lives'
715,"b'i' b'noticed' b'too.' b'definitions' b'of' b'#bullying,' b',' b'and' b'#disabilities' b'are' b'trying' b'to' b'be' b'changed' b'so' b'people' b""don't"" b'hv'"
716,"b'user' b'user' b'and' b'being' b'a' b'ww,' b'i' b'feel' b'culpable' b'4' b'deeply' b'entrenched' b'systemic' b'that' b'exists' b'so' b'i' b'do' b'all' b'i' b'can' b'to'"
717,"b'user' b""'cept"" b'she' b'plays' b'a' b'celtic' b'woman.' b'celtic' b'symbols' b'and' b'accent' b'etc.' b'but' b'because' b""she's"" b'bald' b'character' b'ppl' b'assume' b""she's"" b'a'"
718,b'adveisments' b'naked' b'fucking'
719,b'#boycott' b'#lying' b'#divisive' b'#nationalist' b'#foxnews' b'add' b'to' b'your' b'list' b'user' b'user' b'user' b'karma'
720,b'user' b'you' b'might' b'be' b'a' b'libtard'
721,"b'user' b'user' b'scary' b'that' b""it's"" b'not' b'that' b'long'"
722,b'insane' b'crazy' b'racist' b'white' b'woman' b'reaction!' b'paranormal-' b'insane' b'#crazy' b'#insane' b'free' b'classifieds'
723,b'user' b'user' b'user' b'i' b'feel' b'triggered' b'by' b'your' b'statement.' b'me' b'&amp;' b'my' b'strawberry' b'blonde' b'locks' b'are' b'going' b'to' b'our' b'safe'
724,"b'user' b'cuomo:' b""paladino's"" b""'racist,"" b""ugly'"" b'comments' b'on' b'the' b'obamas' b'embarrass' b'new'"
725,b'good' b'night' b'sweet' b'\xc3\xb0\xc2\x9f\xc2\x8c\xc2\x8e' b'on' b'the' b'5th' b'day' b'of' b'#kwanzaa' b'is' b'#nia' b'which' b'means' b'purpose.' b'our' b'purpose' b'in' b'2017' b'is' b'to'
726,"b'#carriefisher' b'was' b'a' b'#feminist,' b'fighting' b'&amp;' b'#ageism' b'in' b'#hollywood' b'with' b'her' b'#pen,' b'her' b'#acting,' b'her' b'#talent' b'&amp;'"
727,b'the' b'latest' b'the' b'equality' b'echo!' b'thanks' b'to' b'user' b'user'
728,b'are' b'you' b'#hispanic' b'&amp;' b'feel' b'\xc3\xa2\xc2\x80\xc2\xa6' b'the' b'are' b'stomping' b'on' b'you?'
729,b'user' b'absolutely'
730,"b'user' b'if' b'you' b'say' b'the' b""#nazi's"" b'said' b'that' b'#hatred,' b'&amp;' b'#bigotry' b'can' b'be' b'found' b'with' b'extremists' b'of' b'all'"
731,b'user' b'user' b'its' b'about' b'time' b'#whiteman' b'calls' b'an' b'gets'
732,b'user' b'user' b'worst' b'customer' b'service' b'in' b'the' b'united' b'states!' b'already' b'repoed' b'2' b'the' b'better' b'business' b'bureau!'
733,b'user' b'#allahsoil' b'greenspan\xc3\xa2\xc2\x80\xc2\x99s' b'monetary' b'policies' b'equated' b'to' b'declining' b'real' b'wages' b'for' b'workers' b'\xc3\xa2\xc2\x80\xc2\xa6'
734,b'user' b'no!' b'the' b'neighbor' b'has' b'not' b'been' b'arrested.' b'the' b'cop' b'was' b'more' b'interested' b'in' b'the' b'kid' b'littering' b'than' b'the' b'assault' b'of' b'the'
735,b'the' b'latest' b'the' b'daily!' b'thanks' b'to' b'user' b'user'
736,"b""techjunkiejh:'alt-right'"" b'site' b'plans' b'a' b""'fake"" b'black' b""person'"" b'twitter' b'campaign' b'#socialmedia'"
737,"b'user' b'dear' b'#democrats' b',' b'djt' b'not' b'allowing' b'#islamicradicals' b'2' b'use' b""america's"" b'freedoms' b'2' b'destroy' b'r' b'freedoms' b'is' b'not'"
738,"b'#blacklivesmatter' b""that's"" b'why' b'bilal' b'called' b'the' b'adhan' b'on' b'the' b'kaaba' b'always' b'existed' b'hamza' b'yusuf' b'that' b'was' b'not' b'nice'"
739,b'user' b'#allahsoil' b'the' b'temptation' b'to' b'blame' b'everything' b'on' b'a' b'scapegoat' b'is' b'too' b'strong' b'to' b'resist.'
740,"b'#sikh' b'#temple' b'vandalised' b'in' b'in' b'#calgary,' b'#wso' b'condemns'"
741,"b'user' b'user' b'user' b'user' b'user' b'""most' b'boys' b'can' b'use' b'a' b'drill...""' b'really?'"
742,"b'leave' b'a' b""'gweh'"" b'below' b'\xc3\xa2\xc2\xac\xc2\x87' b'if' b'in' b'2017,' b'you' b'will' b'no' b'longer' b'debate' b'#wypipo'"
743,"b'the' b'cowboys' b'racist.' b""i'm"" b'convince' b'fooh.' b'my' b'nigga' b'got' b'12' b'wins' b'and' b""y'all"" b'gon' b'swap' b'him' b'for' b'the' b'white' b'boy' b'who' b""ain't"" b'did'"
744,b'user' b'my' b'#santaproject' b'is' b'to' b'not' b'shop' b'at' b'user' b'as' b'long' b'as' b'they' b'suppo' b'#trump'
745,b'black' b'women' b'free' b'kerala' b'girls' b'sex'
746,"b'can' b'""whites' b'only' b'immigration""' b'make' b'america' b'great' b'again?' b'via'"
747,b'user' b'our' b'#4' b'most' b'popular' b'post' b'this' b'year' b'was' b'user' b'brilliant' b'take'
748,b'great' b'country:' b'#australia' b'and' b'#israel' b':' b'#australian' b'#opkillingbay\xc3\xa3\xc2\x80\xc2\x80#thecove' b'#shabbatshalom\xc3\x97\xc2\xa7\xc3\x97\xc2\xa7\xc3\xa3\xc2\x80'
749,b'thought' b'factory:' b'left-right' b'polarisation!' b'#trump' b'#uselections2016' b'#leadership' b'#politics' b'#brexit' b'#blm'
750,"b'user' b'content:' b'#abuse,' b'#pedophilia,' b'#stalking,' b'#harassment,' b'#gaslighting,' b'#ableism,' b',' b'#threats,' b'#suicide,' b'#nsfw,' b'#self'"
751,"b""what's"" b'humiliating' b'is' b'that' b'our' b'great' b'country' b'will' b'have' b'an' b'ignorant' b'tacky' b'lying'"
752,b'thought' b'factory:' b'left-right' b'polarisation!' b'#trump' b'#uselections2016' b'#leadership' b'#politics' b'#brexit' b'#blm'
753,b'this' b'is' b'what' b'trump\xc3\xa2\xc2\x80\xc2\x99s' b'ny' b'campaign' b'chair' b'had' b'to' b'say' b'about' b'the' b'sitting' b'president' b'of' b'the' b'united' b'states' b'and' b'the' b'first'
754,b'user' b'#drsuess' b'#moonman' b'#offensive' b'#kkk' b'#funny' b'#comedy' b'#lol' b'#edgy' b'#dankmemes' b'#memes' b'(vine' b'by' b'9/11' b'did'
755,b'user' b'#feminismiscancer' b'#feminismisterrorism' b'#feminismmuktbharat' b'why' b'#malevote' b'is' b'ignored'
756,b'user' b'barack' b'#obama' b'gets' b'real' b'about' b'the' b'he' b'#faced' b'in' b'office' b'via'
757,"b'most' b'likely' b'the' b'us' b'is' b'deploying' b'bc' b""we're"" b'and' b'interfering' b'with' b'the' b'#genocide' b'within' b'#africa' b'stop' b'killing'"
758,b'are' b'\xc3\xa2\xc2\x80\xc2\xa6' b'#hispanic' b'&amp;' b'feel' b'like' b'the' b'are' b'stomping' b'on' b'you?'
759,b'plz'
760,b'user' b'is' b'#trump' b'what' b'the' b'lds' b'church' b'stands' b'for?' b'who'
761,"b""i'm"" b'trying' b'so' b'hard' b'to' b'make' b'your' b'handwritten' b'indirect' b'pretty' b'and' b'you' b'tweet' b'shit' b'like' b'this.' b'shut'"
762,b'user' b'user' b'#maga' b'user' b'silence' b'is' b'approval.' b'we' b'always' b'knew' b'what' b'pigs'
763,b'user' b'#feminismiscancer' b'#feminismisterrorism' b'#feminismmuktbharat' b'why' b'#malevote' b'is' b'ignored'
764,b'user' b'#allahsoil' b'not' b'all' b'muslims' b'hate' b'america.' b'\xc3\xa2\xc2\x80\xc2\xa6' b'#emiratis' b'#2016in4words' b'#\xc3\x99\xc2\x8a\xc3\x99\xc2\x88\xc3\x99' b'_\xc3\x98\xc2\xa7\xc3\x99\xc2\x84\xc3\x98\xc2\xac\xc3\x99'
765,b'you' b'might' b'be' b'a' b'libtard'
766,b'are' b'you' b'#black' b'&amp;' b'feel' b'like' b'\xc3\xa2\xc2\x80\xc2\xa6' b'are' b'stomping' b'on' b'you?'
767,"b'i' b'say' b'it' b'was' b'just' b'as' b'good' b'as' b'#thekingsspeech,' b'but' b'it' b""won't"" b'win' b'an'"
768,b'user' b'this' b'is' b'what' b'#shitler' b'is' b'referring' b'to' b'when' b'he' b'ignorantly' b'shouts' b'#maga' b'&amp;' b'his' b'racist' b'sheep' b'sta'
769,"b'user' b""here's"" b'user' b'being' b'a' b'racist' b'troll.' b'would' b'love' b'for' b'you' b'to' b'spread' b'the'"
770,b'megaupload' b'porn' b'link' b'porn'
771,"b'user' b'user' b'user' b'user' b'so' b'yes..u' b'think' b'brown' b'skinned' b'people' b""can't"" b'think' b'for' b'themselves'"
772,"b'user' b'user' b'user' b'user' b'user' b'user' b'user' b'no' b'u' b""don't."" b'did' b'u' b'not' b'single' b'out' b'a' b'race'"
773,b'user' b'#allahsoil' b'to' b'say' b'that' b'all' b'muslims' b'hate' b'america' b'is' b'to' b'suggest' b'they\xc3\xa2\xc2\x80\xc2\x99re' b'all' b'the'
774,b'user' b'indianapolis' b'colts' b'black' b'cheerleader' b'hugs' b'boy' b'who' b'used' b'slur.' b'so.' b'much.'
775,"b'user' b'user' b'user' b'user' b'user' b'user' b'easy.' b""you're"" b'a' b'and'"
776,b'user' b'#trump' b'ally' b'carl' b'paladino' b'said' b'first' b'lady' b'should' b'go' b'live' b'in' b'a' b'cave' b'with' b'a' b'gorilla'
777,"b'user' b'nazis' b'continue' b'to' b'target' b'jews,' b'businesses'"
778,"b'user' b'user' b'your' b'ignorance,' b'#whiteprivilege' b'and' b'#whitefragility' b'is' b'egregious.' b""don't"" b'dare' b'speak' b'4' b""'rest"""
779,b'user' b'someone' b'should' b'feed' b'you' b'grenades' b'you' b'stupid' b'fuck'
780,b'user' b'you' b'might' b'be' b'a' b'libtard'
781,"b'#sikh' b'#temple' b'vandalised' b'in' b'in' b'#calgary,' b'#wso' b'condemns'"
782,b'are' b'you' b'#black' b'&amp;' b'feel' b'like' b'the' b'are' b'\xc3\xa2\xc2\x80\xc2\xa6on' b'you?'
783,b'says' b'#fatty.' b'dumb' b'#black' b'people' b'think' b'they' b'can' b'smell' b'!'
784,"b'white' b'""social' b'justice' b'warriors""' b'_' b'getting' b'it' b'wrong,' b'again.' b'via'"
785,"b'and' b""don't"" b'forget,' b'that' b'per' b'megyn' b'kelly' b'of' b'#fauxnews,' b'jesus' b'&amp;' b'santa' b'are' b'also'"
786,b'user' b'this' b'white' b'crowd' b'turned' b'its' b'back' b'on' b'an' b'all-black' b'basketball' b'team' b'at' b'a' b'high' b'school'
787,"b""y'all,"" b'is' b'global.' b'we' b'just' b'may' b'have' b'to' b'lose' b'before' b'folks'"
788,"b'dear' b'#leftistlunatics,' b'change' b'a' b'few' b'words' b'and' b'tell' b'me' b'how' b'your' b'aicle' b""isn't"" b'?' b'you' b'people' b'are'"
789,b'surprise!' b'adam' b'saleh' b'is' b'a' b'!' b'user'
790,b'porn' b'video' b'smoking' b'porn'
791,b'user' b'user' b'user' b'user' b'says' b'a' b'president' b'elect' b'that' b'calls' b'americans'
792,b'you' b'might' b'be' b'a' b'libtard'
793,b'user' b'the' b'white' b'flight' b'of' b'derek'
794,"b'user' b'outraged' b'by' b'the' b'emoji' b'update.' b'how' b'dare' b'they' b'have' b'a' b'fat' b'woman' b'and' b'not' b'a' b'fat' b'man,' b'are' b'they' b'saying' b'only' b'women' b'can' b'get' b'fat?'"
