,tweet
1680,b'highhhhh' b'watching' b'dawn' b'of' b'planet' b'of' b'the'
1681,b'hmu' b'talmbout' b'match' b'but' b'when' b'i' b'pull' b'up' b'its' b'30' b'other' b'niccas' b'wit' b'ya'
1682,"b'hoi,' b'fai' b'moke'"
1683,"b'hold' b'all' b'your' b'ghetto' b'labeled' b'and' b'endorsed' b'vodka' b'brands,' b'you' b'can' b'rum' b'me' b'silly' b'any'"
1684,b'holy' b'monkey' b'balls' b'its' b'warm'
1685,b'home' b'to' b'chicken' b'and' b'penne' b'alfredo' b'and' b'oreos' b'and'
1686,b'homemade' b'soup' b'is' b'very' b'good' b'with' b'vegetables' b'on' b'the' b'side' b'with'
1687,b'homework' b'and' b'boonies' b'date' b'with' b'caitlin'
1688,b'horny' b'called' b'me' b'asking' b'her' b'to' b'buy' b'her' b'a' b'drink' b'this' b'morning' b'and' b'then' b'this' b'jiggaboo' b'walks' b'in' b'with' b'a' b'sonic' b'drink' b'in' b'her'
1689,b'houston' b'has' b'so' b'many' b'trash'
1690,b'how' b'about' b'a' b'charles' b'in' b'charge' b'movie' b'with' b'shia' b'lebouf' b'as' b'charlie' b'and' b'ryan' b'gosling' b'as'
1691,b'how' b'bout' b'them'
1692,"b'how' b'is' b'angry' b'birds' b'the' b'movie' b'going' b'to' b'work?' b""they're"" b'just' b'floating' b'bird'"
1693,b'how' b'is' b'that' b'not' b'a' b'yellow' b'on' b'ronaldo' b'for' b'full' b'on' b'body' b'bumping' b'the'
1694,b'how' b'long' b'after' b'the' b'redskins' b'change' b'their' b'nsme' b'will' b'all' b'memorabilia' b'w/redskind' b'name' b'be' b'deemef' b'racist' b'and' b'therefore' b'illegal?' b'any'
1695,"b'how' b'long' b'are' b'they' b'going' b'to' b'let' b'the' b'fools' b'in' b'#ferguson' b'continue?' b'stop' b'pussy' b""footin'"" b'&amp;' b'disperse' b'them' b'by' b'whatever' b'means'"
1696,b'how' b'many' b'#yankees' b'players' b'have' b'3k' b'hits?' b'you' b'have' b'to' b'put' b'#derekjeter' b'in' b'the' b'conversation' b'for' b'best' b'yankee' b'ever.' b'his' b'numbers' b'demand'
1697,"b'how' b'now,'"
1698,"b'how' b'the' b'hell' b'was' b'david' b""murphy's"" b'hit' b'not' b'a' b'home' b'run?!' b'clearly' b'over' b'the' b'yellow' b'line.' b'mlb' b'another' b'umpire' b'mess' b'up....'"
1699,b'hugs' b'or' b'kisses?' b'&#8212;' b'hugs.' b'it' b'gives' b'you' b'a' b'warm' b'fuzzy'
1700,"b'i' b'i' b""haven't"" b'watched' b'a' b'single' b'episode' b'of' b'#lhhny' b'however' b""i'm"" b'watching' b'the' b'reunion.' b'this' b'coon' b'shit.' b'i' b'mean' b'the' b'levels' b'of'"
1701,"b'i' b'love' b'my' b'10' b'&amp;' b'5' b'but' b'most' b'days' b'they' b'remind' b'me' b'why' b'birth' b'control' b'is' b'important' b'later' b'in' b'life.' b'i' b'miss' b'my' b'""baby' b'bird""!' b'come' b'home,' b'18!'"
1702,b'i' b'almost' b'stepped' b'on' b'a' b'bird' b'running' b'around' b'the' b'floor' b'ah' b'they' b'are' b'so'
1703,b'i' b'also' b'had' b'a' b'dream' b'that' b'i' b'went' b'to' b'the' b'fob' b'show' b'and' b'fob' b'was' b'rude' b'to' b'me' b'and' b'audizzle' b'was' b'getting' b'badly' b'hit' b'on' b'by' b'some'
1704,b'i' b'always' b'soprised' b'dat' b'i' b'has' b'mo' b'while' b'followers' b'den'
1705,"b'i' b'am' b'a' b'yankee' b'by' b'birth,' b'and' b'lived' b'much' b'of' b'my' b'life' b'in' b'north.' b'i' b'see' b'no' b'diff' b'in' b'level' b'of' b'racism' b'frendafox' b'melinwy'"
1706,b'i' b'am' b'a' b'celestial' b'body'
1707,"b'i' b'am' b'currently' b'using' b'a' b'yellow' b'marker' b'that' b'is' b'literally' b'called' b""'spanish"" b""orange'"" b'for' b'this' b'drawing' b'of' b'wikiparaz' b';' b'absolute'"
1708,b'i' b'am' b'extremely' b'sad' b'to' b'have' b'to' b'admit' b'that' b'some' b'of' b'the' b'best' b'21st' b'century' b'arabic' b'rhymes' b'have' b'been' b'written' b'by'
1709,b'i' b'asked' b'the' b'name' b'of' b'the' b'bird' b'ancient' b'egyptians' b'used' b'as' b'the' b'sun' b'of' b'god' b'heru' b'(horus).the' b'pheonix'
1710,b'i' b'ate' b'a'
1711,"b'i' b'be' b'jamming' b'skid' b'row,kix,cinderella,damn' b'yankees,bon' b'jovi,def' b'leppard,whitesnake,extreme,vinnie' b'vincent' b'invasion,ratt,scorpions'"
1712,"b'i' b'been' b'to' b'mushroom' b'mountain' b'once' b'or' b'twice' b'but' b""who's"" b""countin'"" b'but' b'nothin' b'compares' b'to' b'these' b'blue' b'&amp;' b'yellow' b'purple'"
1713,b'i' b'can' b'hear' b'birds'
1714,b'i' b'can' b'hear' b'my' b'mom' b'playing' b'flappy' b'bird' b'in' b'the' b'living' b'room'
1715,b'i' b'can' b'hear' b'the' b'birds'
1716,"b'i' b'can' b'jig,' b'but' b'i' b""can't"" b'jig' b'jig.' b'&#128514;' b'like' b'that' b'new' b'jigging' b'got' b'so' b'much' b'in' b'it' b'that' b'you' b'could' b'do,' b'you' b'really' b'gotta' b'be' b'in' b'shape' b'for'"
1717,"b'i' b""can't"" b'even' b'find' b'it' b'in' b'me' b'to' b'mock' b'anymore.' b'this' b'is' b'scary.' b'this' b'mass' b'ignorance' b'is' b'terrifying.' b'rt' b'kateelliottsff' b'yes,' b'alas,' b'i'"
1718,"b'i' b""can't"" b'play' b'flappy' b'bird.' b'it' b'makes' b'me'"
1719,"b'i' b""can't"" b'sleep' b'so' b'ima' b'watch' b'spongebob' b'and' b'eat' b'crackers' b'and' b'peanut'"
1720,"b'i' b""can't"" b'take' b'you' b'serious' b'if' b'you' b'wear' b'colored'"
1721,"b'i' b""can't"" b'wait' b'to' b'post' b'the' b'designs' b'of' b'my' b'new' b'walkout' b'shirts,' b'sweaters,' b'and' b'hats!' b'should' b'have' b'the' b'official' b'mock' b'up' b'done' b'tomorrow.' b""they're"""
1722,"b'i' b""can't"" b'wait' b'to' b'watch' b'the' b'saints' b'put' b'their' b'weiner' b'right' b'in' b'the' b'cowboys' b'butts' b'.' b'dallas' b'is'"
1723,"b'i' b""can't"" b'watch' b'charlie' b'st.' b'cloud' b'because' b'i' b'cry' b'like' b'a' b'little' b'baby.' b'every.' b'single.' b'time.'"
1724,b'i' b'cannot' b'express' b'how' b'infinitely' b'better' b'the' b'book' b'is' b'to' b'this'
1725,"b'i' b'confess.' b""i'm"" b'autistic' b'or' b'something.' b'i' b'thought' b'#aerosmith' b'#dreamon' b'was' b'#ledzeppelin' b'until' b'like'"
1726,b'i' b'could' b'go' b'for' b'a' b'brownie' b'right'
1727,"b'i' b""couldn't"" b'press' b'send.' b'that' b'tweet' b'about' b'anchor' b'babies' b'was' b'even' b'too' b'raw' b'for'"
1728,b'i' b'def' b'got' b'a' b'few' b'shades' b'darker' b'cutting' b'my' b'mama' b'grass.' b'there' b'goes' b'my' b'yellow' b'frame'
1729,"b'i' b'didnt' b'buy' b'any' b'alcohol' b'this' b'weekend,' b'and' b'only' b'bought' b'20' b'fags.' b'proud' b'that' b'i' b'still' b'have' b'40' b'quid'"
1730,b'i' b'don&#8217;t' b'talk' b'trash' b'regarding'
1731,"b'i' b""don't"" b'blame' b'crash' b'for' b'not' b'sharing' b'with' b'you' b'geoffsheen760' b""you'll"" b'probably' b'talk' b'trash' b'about' b'it' b'like' b'you' b'do' b'food'"
1732,"b'i' b""don't"" b'know' b'what' b'you' b'been' b'told' b'but' b'i' b'love' b'them' b'project'"
1733,"b'i' b""don't"" b'know' b""what's"" b'more' b'stressful,' b'midterms' b'or' b'flappy'"
1734,"b'i' b""don't"" b'own' b'any' b'#onslaught' b'on' b'#vinyl' b'i' b'may' b'have' b'to' b'get' b'one' b'now.' b'their' b'new' b'lp' b'is' b'available' b'in' b'army' b'green' b'coloured'"
1735,"b'i' b""don't"" b'want' b'to' b'deal' b'with' b""yesterday's"" b'trash!' b""there's"" b'a' b'reason' b'it' b'got' b'thrown' b'out' b'in' b'the' b'first'"
1736,"b'i' b'done' b'been' b'to' b'the' b'top,' b'i' b'done' b'sipped' b'the' b'juice/' b'and' b'with' b'that' b'being' b'said,' b'bird' b'crumbs' b'will' b'never'"
1737,b'i' b'dont' b'understand' b'rich' b'people' b'who' b'dress' b'like'
1738,b'i' b'feel' b'utterly' b'retarded.' b'thanks' b'big' b'brother&#128563;&#128514;'
1739,b'i' b'find' b'it' b'amusing' b'that' b'senator' b'tedcruz' b'is' b'an' b'anchor'
1740,b'i' b'found' b'your' b'arm' b'in' b'that' b'trash' b'receptacle' b'and' b'your' b'leg' b'in' b'the' b'mud' b'down' b'by' b'that' b'stream.you' b'should' b'consider' b'keeping' b'better' b'track' b'of' b'your'
1741,b'i' b'from' b'the' b'planet' b'of' b'apes' b'king' b'kong'
1742,b'i' b'get' b'a' b'50' b'pound' b'bag' b'of' b'dawg' b'for' b'the'
1743,"b'i' b'got' b'a' b'uncle' b'through' b'marriage' b'dude' b'got' b'hips' b'like' b'big' b'momma' b'i' b'swear' b'all' b'the' b'lil' b'kids' b'mock' b'his' b'walk' b'and' b'he' b""don't"" b'even' b'know'"
1744,b'i' b'got' b'dirty' b'birds' b'hey' b'shoot' b'like' b'larry' b'bird'
1745,b'i' b'got' b'my' b'eyes' b'on' b'this' b'red'
1746,"b'i' b'got' b'to' b'get' b'the' b'trash' b'out' b'and' b'make' b'breakfast' b'for' b'the' b'frau' b'and' b'start' b'laundry' b'so' b""y'all"" b'be' b'good' b'till' b'i' b'get' b'back.' b'cracker'"
1747,"b'i' b'grew' b'to' b'hate' b'blonde' b'and' b'primary' b'colored' b'weaves' b'but' b'that' b""wouldn't"" b'stop' b'me' b'from' b'requesting' b'some' b'good'"
1748,b'i' b'had' b'froyo' b'with' b'brownies' b'for' b'dinner' b'tonight.' b'being' b'an' b'adult' b'is' b'making' b'these' b'executive'
1749,"b'i' b'hate' b'""chunky""' b'pasta' b'sauce.' b'keep' b'pesky' b'vegetables' b'way' b'from'"
1750,b'i' b'hate' b'hashtag' b'activism.' b'no' b'lie.' b'i' b'think' b'95%' b'of' b'it' b'is'
1751,"b'i' b'hate' b'being' b'profiled.' b""i'm"" b'not' b'""country"",' b""i'm"" b'not' b'a' b'""hick"".' b""i'm"" b'eric' b'dean' b'vestal,' b'and' b""i'm"" b'doing' b'what' b'makes' b'me' b'happy,' b'not' b'anything'"
1752,"b'i' b'hate' b'my' b""dog's"" b'name..' b'it' b'sounds' b'so' b'ghetto.'"
1753,b'i' b'hate' b'that' b'i' b'wake' b'up' b'early' b'the' b'morning' b'after' b'i' b'drink.' b'but' b'the' b'fact' b'that' b'there' b'was' b'a' b'cold' b'yellow' b'gatorade' b'in' b'the' b'fridge' b'gets' b'me' b'so'
1754,b'i' b'hate' b'that' b'wee' b'boy' b'wae' b'the' b'squinty' b'eyes' b'in' b'the' b'game' b'of'
1755,b'i' b'hate' b'when' b'females' b'try' b'to' b'sound' b'like' b'bird'
1756,"b'i' b'hate' b'yellow' b'jackets' b""can't"" b'feel' b'arms' b'and' b'back'"
1757,b'i' b'have' b'a' b'feeling' b'tonight' b'will' b'be'
1758,b'i' b'have' b'never' b'actually' b'seen' b'a' b'yellow'
1759,b'i' b'have' b'no' b'clothes' b'that' b'make' b'me' b'look' b'like' b'a' b'redneck' b'but' b'i' b'tried' b'my' b'best'
1760,"b'i' b'have' b'really' b'light' b'colored' b'eyebrows' b'naturally' b'and' b""it's"" b'not'"
1761,"b'i' b'have' b'to' b'dress' b'up' b'tomorrow' b'for' b'mock' b'interviews' b'and' b'i' b'still' b""don't"" b'know' b'how' b'to' b'tie' b'the' b'tie'"
1762,b'i' b'hear' b'the' b'birds' b'in' b'the' b'summer' b'breeze;' b'i' b'drive' b'fast;' b'i' b'am' b'alone' b'at'
1763,b'i' b'hear' b'the' b'same' b'thing' b'day' b'in' b'and' b'day' b'out....' b'its' b'for' b'the'
1764,b'i' b'hope' b'charlie' b'brought' b'the' b'lube' b'for' b'this'
1765,"b'i' b'hope' b'the' b'yankees' b'get' b'soriano,' b'shoulda' b'never' b'gave' b'him' b'away' b'for' b'alex'"
1766,"b'i' b'hope' b'the' b'trash' b'i' b'talk' b'abt' b""cnn's"" b'poor' b'product' b""doesn't"" b'hurt' b'my' b'chances' b'of' b'getting' b'hired' b'as' b'a' b'legal' b'correspondent.' b'i' b'was' b'jk'"
1767,"b'i' b'hopes' b'dis' b""don't"" b'come' b'as' b'a' b'severe' b'shock' b'to' b'use' b'but' b""i'm"""
1768,b'i' b'ignore'
1769,b'i' b'just' b'might' b'buy' b'myself' b'an' b'a-rod'
1770,b'i' b'just' b'need' b'the' b'yankees' b'to' b'win' b'the'
1771,b'i' b'just' b'put' b'down' b'a' b'pan' b'of'
1772,b'i' b'just' b'saw' b'a' b'man' b'have' b'a' b'actual' b'conversation' b'with' b'his' b'bird'
1773,b'i' b'just' b'wanna' b'cuddle' b'with' b'my' b'boyfriend' b'under' b'a' b'fuzzy' b'blanket' b'&amp;' b'drink' b'hot' b'tea' b'and' b'have' b'my' b'hair' b'played' b'with' b'so' b'i' b'can' b'go' b'to'
1774,b'i' b'just' b'want' b'some' b'oreos' b'&amp;' b'milk' b'honestly.' b'just' b'stop' b'by' b'the' b'store' b'&amp;' b'pick' b'up' b'some' b'on' b'your' b'way' b'back'
1775,b'i' b'just' b'want' b'vanilla'
1776,b'i' b'just' b'whipped' b'up' b'these' b'#homemade' b'#pickled' b'#eggs' b'while' b'home' b'being' b'a' b'cripple...' b'made'
1777,"b'i' b'keep' b'running' b'under' b'trees' b'or' b'when' b'birds' b'fly' b'to' b'avoid' b'their,' b'erm,' b'being' b'targeted' b'by' b'their' b'lack' b'of' b'a' b'digestive'"
1778,"b'i' b'know' b""i'm"" b'a' b'hillbilly,' b'but' b'is' b'there' b'anything' b'better' b'than' b'a' b'big' b'pot' b'of' b'beans' b'and' b'cornbread?' b'little' b'hot' b'sauce' b'on'"
1779,"b'i' b'know' b'right.' b'get' b'one' b'guy' b'out!!' b'man!' b'pjmclaugh:' b'you' b'had' b'one' b'job,' b'jos' b'nobz13'"
1780,b'i' b'learnt' b'about' b'birds' b'as' b'a' b'child.' b'best' b'time' b'to' b'learn'
1781,b'i' b'like' b'rivers' b'he' b'talks' b'a' b'lot' b'of' b'trash' b'you' b'can' b'tell' b'he' b'loves' b'the'
1782,b'i' b'like' b'the' b'yankees' b'toinight'
1783,"b'i' b'like' b'to' b'mock' b'apple,' b'but' b""i'm"" b'legitimately' b'interested' b'to' b'see' b'what' b'their' b'wearable' b'looks'"
1784,"b'i' b'liked' b'a' b'youtube' b'video' b'the' b'sock' b'fairy,' b'a' b'short'"
1785,b'i' b'live' b'for' b'two-bite'
1786,b'i' b'look' b'like' b'a' b'dusty' b'bird'
1787,"b'i' b'love' b'""butter""' b'by' b'atcq,' b'but' b""i'd"" b'love' b'it' b'more' b'if' b""q-tip's"" b'hook' b'was' b'just' b'looped' b'for' b'three' b'and' b'a' b'half' b'minutes' b'instead' b'of' b""phife's"" b'trash'"
1788,b'i' b'love' b'liv' b'when' b'she' b'gets'
1789,"b'i' b'love' b'floating' b'monkey' b'heads' b'as' b'much' b'as' b'the' b'next' b'person' b'but' b'active' b""surplus'"" b'website' b'is' b'just'"
1790,"b'i' b'love' b'how' b'we' b'can' b'marry' b'and' b'still' b'be' b'the' b'same' b'queer,' b'messy,' b'funny,' b'fabulous,' b'dramatic' b'community' b""we've"" b'always' b'been.' b'why' b'i' b'love'"
1791,b'i' b'love' b'jigg'
1792,b'i' b'love' b'me' b'some' b'chunky' b'babies'
1793,b'i' b'love' b'the' b'acoustic' b'domes' b'in' b'the' b'hallways.' b'favorite' b'place' b'to' b'sing' b'in' b'public.' b'no'
1794,"b'i' b'love' b'watching' b'birds' b'migrate.' b'wish' b'i' b'understood' b'why' b""it's"" b'such' b'a' b'peaceful'"
1795,b'i' b'love' b'wearing' b'fuzzy' b'socks' b'to'
1796,b'i' b'luh' b'to' b'lick' b'the' b'middle' b'like' b'an'
1797,"b'i' b'luv' b'watching' b'gas' b'monkey,' b'they' b'be' b'havin' b'some' b'classics' b'on'"
1798,b'i' b'may' b'or' b'may' b'not' b'have' b'at' b'least' b'4' b'fob' b'related' b'tattoos' b'already' b'planned'
1799,"b'i' b'mean' b'most' b'ppl' b'confuse' b'when' b'to' b'use' b'""to""' b'and' b'""too"",' b'this' b'nicca' b'used' b'the' b'word' b'""two""' b'when' b'he' b""should've"" b'used' b'""to""'"
1800,"b'i' b'mean...if' b'you' b'blow' b'a' b'foul' b'there,' b'it' b'has' b'to' b'be' b'a' b'yellow' b'in' b'that' b'situation'"
1801,b'i' b'miss' b'twinkies' b'and' b'susie' b'qs.' b'tragic' b'loss' b'to' b'society.' b'what' b'is' b'next?' b'pixie'
1802,b'i' b'miss' b'my' b'monkey'
1803,"b'i' b'need' b'a' b'spanish' b'woman.' b'they' b""don't"" b'have' b'ghetto' b'names.' b'they' b'can' b'cook.' b'they' b'down' b'with' b'u' b'till' b'the' b'casket' b'and' b'they'"
1804,b'i' b'need' b'a' b'cowboy' b'killer' b'and' b'a' b'cold' b'one' b'about' b'now.' b'mr_dtb' b'probably' b'too' b'tired' b'tho' b'to' b'get'
1805,b'i' b'need' b'a' b'heated' b'bra' b'because' b'my' b'nips' b'hurt' b'so'
1806,b'i' b'need' b'like' b'43' b'fuzzy' b'blankets' b'to' b'sleep'
1807,"b'i' b'need' b'sleep' b'but' b""can't"" b'seem' b'to' b'get' b'that' b'place' b'that' b""let's"" b'you' b'clam' b'down' b'and' b'sleep'"
1808,b'i' b'need' b'to' b'pick' b'between' b'two' b'wigs.' b'the' b'agony.' b';__;' b'my' b'cute' b'multi-colored' b'bob' b'or' b'my' b'red' b'stevie' b'nicks' b'curly'
1809,b'i' b'nicknamed' b'lux' b'coach' b'k' b'because' b'without' b'him' b'we' b'would' b'of' b'never' b'heard' b'of' b'duke' b'lol'
1810,b'i' b'openly' b'admit' b'to' b'being' b'the' b'level' b'of' b'white' b'trash' b'that' b'will' b'drive' b'across' b'town' b'to' b'the' b'gas' b'station' b'with' b'free' b'hot' b'dogs' b'&amp;' b'half' b'price'
1811,b'i' b'pictured' b'angus' b'running' b'up' b'the' b'side' b'of' b'fob' b'sharana' b'with' b'every' b'day' b'in' b'afghanistan'
1812,b'i' b'rather' b'watch' b'the' b'oak' b'cliff' b'redskins' b'and' b'oak' b'cliff' b'comets' b'play'
1813,b'i' b'really' b'want' b'a' b'girl' b'to' b'make' b'me' b'some' b'brownies'
1814,b'i' b'really' b'want' b'a' b'sports' b'star' b'to' b'get' b'a' b'pet' b'monkey' b'and' b'name' b'him'
1815,b'i' b'remember' b'laying' b'on' b'a' b'hospital' b'bed' b'after' b'being' b'shot' b'ranting' b'about' b'how' b'coconut' b'shrimp' b'was'
1816,b'i' b'remember' b'the' b'va' b'tech' b'band' b'called' b'us' b'planet' b'of' b'the' b'apes.' b'i' b'was' b'ready' b'to'
1817,b'i' b'rescued' b'a' b'baby' b'bird'
1818,b'i' b'said' b'middle' b'school' b'days' b'as' b'in' b'the' b'ghetto' b'way' b'people...' b'&#8212;' b'and' b'what' b'i' b'am' b'nor' b'here' b'to' b'impress' b'you' b'what' b'are' b'you'
1819,b'i' b'see' b'u' b'jigga!!!!' b'hillary'
1820,b'i' b'see' b'ya' b'big' b'boi' b'in' b'the' b'oreo'
1821,b'i' b'sho' b'do' b'miss' b'my' b'uncle'
1822,b'i' b'should' b'start' b'wearing' b'beanies'
1823,b'i' b'show' b'do' b'like' b'the' b'jeffersons.' b'dat' b'george' b'make' b'me' b'wanna' b'open' b'up' b'a' b'dry' b'cleaning' b'stow' b'and' b'call' b'all' b'da' b'white' b'folk'
1824,"b'i' b'still' b""can't"" b'understand' b'why' b'we' b""don't"" b'dump' b'our' b'trash' b'in' b'the' b'ocean.' b""it's"" b'pretty' b'big' b'and' b""it'd"" b'surely' b'be' b'cheaper' b'than' b'launching' b'it' b'into'"
1825,b'i' b'swear' b'the' b'people' b'cleaning' b'the' b'office' b'switch' b'what' b'side' b'the' b'trash' b'vs' b'recycling' b'cans' b'are' b'on' b'on' b'purpose' b'to' b'mess' b'with'
1826,b'i' b'talked' b'to' b'some' b'birds...' b'i' b'fell' b'in' b'love'
1827,b'i' b'think' b'i' b'found' b'a' b'normal' b'roommate' b'again!' b'praise' b'be' b'to' b'jesus!' b'these' b'current' b'ones' b'are' b'about' b'to' b'get' b'their' b'throats' b'slit' b'in' b'their'
1828,"b'i' b'think' b""i'll"" b'have' b'salad' b'bar' b'for' b'lunch' b'today.' b'gotta' b'make' b'up' b'for' b'the' b'birthday' b'brownies'"
1829,"b'i' b'think' b""i'll"" b'just' b'eat' b'this' b'brownie' b'and' b'pass'"
1830,"b'i' b'think' b""i'm"" b'gonna' b'walk' b'around' b'the' b'house' b'free' b'as' b'a'"
1831,b'i' b'think' b'about' b'the' b'fact' b'that' b'dinosaurs' b'evolved' b'into' b'birds' b'every' b'time' b'i' b'eat' b'chicken.' b'dinosaurs' b'are'
1832,b'i' b'thought' b'she' b'was' b'albino' b'tho'
1833,"b'i' b'told' b'her' b'too.' b'i' b'said' b'""bri' b""don't"" b'get' b'in' b'tweef' b'with' b'anyone' b'because' b""you're"" b'trash' b'at' b'it""' b'and' b'then' b'she' b'goes' b'and' b'tweefs' b'with' b'like' b'6'"
1834,"b'i' b'took' b'2' b'""rebel' b'vs.' b'yankee""' b'tests' b'(40' b'questions,' b'accents,' b'word' b'usage)' b'and' b'scored' b'a' b'total' b'%' b'of' b'47.5%' b'rebel' b'vs.' b'52.5%' b'yankee' b'in' b'southern'"
1835,"b'i' b'traveled' b'back' b'in' b'time' b'to' b'middle-earth' b'and' b'crept' b'up' b'on' b'my' b'enemy.' b'i' b'slit' b'the' b""hobbit's"" b'throat' b'and' b'by' b'reflex' b'vomited' b'into' b'my' b'trembling'"
1836,b'i' b'uploaded' b'a' b'youtube' b'video' b'goproud' b'makes' b'money' b'out' b'of' b'twinkie' b'crisis' b'in' b'free' b'market'
1837,"b'i' b'uploaded' b'a' b'youtube' b'video' b'update' b'on' b'uganda' b'anti-gay' b'bill:' b'freemasonry,' b'anglo-american' b'influence,'"
1838,b'i' b'used' b'to' b'chug' b'vodka' b'and' b'orange' b'juice.' b'i' b'also' b'used' b'to' b'chug' b'vodka' b'and' b'gatorade...' b'i' b'used' b'to' b'chug'
1839,"b'i' b'used' b'to' b'get' b'grs' b'a' b'lot,' b'tho.' b'maybe' b""that's"" b'why' b'my' b'soles' b'cracked' b'so'"
1840,b'i' b'used' b'to' b'picture' b'him' b'coming' b'up' b'the' b'wadi' b'to' b'fob' b'sharana' b'with' b'a' b'barrel' b'of' b'brandy' b'for' b'me'
1841,b'i' b'wanna' b'go' b'to' b'a' b'trash' b'talk'
1842,b'i' b'wanna' b'try' b'pot'
1843,b'i' b'want' b'oreos!!' b'who' b'can' b'help'
1844,b'i' b'want' b'a' b'cowboy'
1845,b'i' b'want' b'a' b'four' b'loco' b'right' b'now' b'so' b'i' b'can' b'chug' b'it' b'and' b'go' b'straight' b'to'
1846,b'i' b'want' b'a' b'slope' b'job' b'so' b'i' b'can' b'get' b'away' b'from' b'everything' b'and' b'be' b'by' b'myself' b'for' b'two' b'weeks.' b'i' b'hate' b'being' b'around' b'people' b'unless' b'they' b'are' b'my'
1847,"b'i' b'want' b'some' b'cookies,' b'brownies' b'and' b'ice' b'cream.'"
1848,b'i' b'want' b'some' b'monkey' b'bread'
1849,b'i' b'want' b'some' b'monkey'
1850,b'i' b'want' b'to' b'go' b'to' b'the' b'pumpkin' b'patch' b'but' b'the' b'love' b'birds' b'will' b'make' b'it' b'a' b'date' b'and' b'then' b'the' b'rest' b'of' b'us' b'will' b'be'
1851,"b'i' b'was' b'accused' b'of' b'never' b'taking' b'a' b'full' b'front' b'face' b'shot,' b'so' b'here' b'is' b'one.' b'no' b'slant' b'or' b'angle' b'or' b'nothing.'"
1852,"b'i' b'was' b'flying' b'down' b'the' b'slope' b'and' b'just' b'rammed' b'into' b'this' b'small' b'asian' b'boy,' b'kid' b'got' b'up' b'like' b'a' b'champ' b'and' b'walked' b'it'"
1853,b'i' b'was' b'in' b'love' b'with' b'charlie'
1854,b'i' b'was' b'informed' b'about' b'a' b'bird' b'(pheonix)' b'today' b'that' b'i' b'could' b'not' b'find' b'a' b'physical' b'image' b'of.all' b'paintings.mythological' b'or'
1855,b'i' b'was' b'told' b'never' b'fold' b'&amp;' b'never' b'sell' b'my'
1856,b'i' b'went' b'outside' b'and' b'got' b'mad' b'bc' b'this' b'weather' b'is'
1857,"b'i' b'went' b'to' b'see' b'this' b'is' b'where' b'i' b'leave' b'you,' b'at' b'a' b'movie' b'theater' b'with' b'tables' b'and' b'real' b'food!' b'it' b'was' b'fun.' b'i' b'ordered' b'a' b'brownie' b'dessert.'"
1858,"b'i' b'wept' b'when' b'#thurmanmunson' b'died,' b'and' b'i' b'weep' b'35' b'years'"
1859,b'i' b'wonder' b'how' b'many' b'yankee' b'fans' b'are' b'hurt' b'that' b'derek' b'jeter' b'is' b'out' b'until' b'after' b'the' b'all' b'star' b'break' b'lmao'
1860,"b'i' b'would' b'bitch' b'about' b'the' b'weather' b'being' b'bipolar,' b'but' b""i'm"" b'just' b'gonna' b'appreciate' b'how' b'nice' b'it' b'is'"
1861,"b'i' b'would' b'describe' b""whatupag's"" b'work' b'as'"
1862,"b'i' b'would' b'like' b'to' b'test' b'and' b'see' b'how' b'long' b'your' b'tongue' b'really' b'is,' b'my' b'lady.' b'[eggplant' b'emoji]'"
1863,"b'i' b'would' b'went' b'in' b'on' b'that' b'ref' b'hell,' b'with' b'a' b'post' b'game' b'interview' b'saying' b'he' b'called' b'me' b'sad' b'and'"
1864,"b""i'd"" b'be' b'the' b'best' b'at' b'owning' b'a' b'bird.' b'i' b'could' b'teach' b'them' b'the' b'funniest' b'things' b'to'"
1865,"b""i'd"" b'do' b'anything' b'for' b'an' b'oreo' b'vanilla' b'bean' b'drink' b'from' b'dunkin' b'&amp;' b'a' b'chocolate' b'chip' b'muffin' b'from' b'there' b""too..i'm"" b'starving' b'&amp;' b'that' b'sounds' b'so' b'good'"
1866,"b""i'd"" b'kill' b'to' b'meet' b'charlie'"
1867,"b""i'd"" b'rather' b'follow' b'some' b'girls' b'on' b'instagram' b'rather' b'than' b'have' b'their' b'bird' b'brain' b'tweets' b'on' b'my'"
1868,"b""i'd"" b'rather' b'hear' b'neal' b'degrasse' b'tyson' b'tell' b'me' b'about' b'scientific' b'mistakes' b'in' b'their' b'assumptions' b'than' b'some'"
1869,"b""i'll"" b'be' b'a' b'yankee' b'fan'"
1870,"b""i'll"" b'give' b'you' b'a' b'baby' b'zebra'"
1871,"b""i'll"" b'let' b'u' b'clam' b'on' b'top' b'and' b'let' b'dat' b'nookie' b'pop' b""i'm"" b'in' b'dat' b'cookie' b'jar' b'i' b""ain't"" b'no' b'rookie'"
1872,"b""i'm"" b'81' b'and' b'i' b'still' b'eat' b'animal'"
1873,"b""i'm"" b'camera' b'shy,' b""don't"" b'talk' b'on' b'phones' b'and' b'love' b'when' b'it' b'rain.....if' b'youn' b'kno' b'the' b'life' b'you' b""wouldn't"""
1874,"b""i'm"""
1875,"b""i'm"" b'pregnant' b'charlie'"
1876,"b""i'm"" b'a' b'redneck,' b'but' b'without' b'the' b'homophobia' b'and'"
1877,"b""i'm"" b'a' b'sucker' b'for' b'colored' b'eyes'"
